Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.032553/2026-67,8131560,Solicitação de baixa itens patrimoniais bloco 2A,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,Abrir processo relacionado,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8131560,2
23117.032977/2026-21,8135992,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8135992,1
23117.033310/2026-46,8140126,COLETA COREMU 2H,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8140126,1
23117.033331/2024-08,6035706,(Não Visualizado) DICOP - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6035706,1
23117.033401/2026-81,8141348,,Material: Recolhimento de Material ao Depósito,,Coleta,Analisar,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8141348,1
23117.034148/2023-31,5037001,Recolhimento de Patrimônio: Estabilizadores - 16/05/2023 - Faculdade de Computação,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5037001,1
23117.034833/2023-67,5044939,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5044939,1
23117.034843/2024-83,6051667,(Não Visualizado) COLETA COREMU 2H,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6051667,1
23117.034935/2023-82,5046127,(Não Visualizado) COLETA COMED 2H,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5046127,1
23117.035329/2026-27,8166884,(Não Visualizado) Recolhimento de impressoras na BCMON-DIINF,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8166884,1
